# Sin pesos preentrenados (coco)

Modelo,Precision,Recall,mAP@0.5,mAP@0.5:0.95
RUN_20250505_101316_646756,0.018658742308616638,0.92677903175354,0.527919590473175,0.23937968909740448
RUN_20250506_133329_364930,0.019772492349147797,0.9025839567184448,0.4562063217163086,0.2037389725446701
RUN_20250506_234254_095751,0.019772492349147797,0.9025839567184448,0.4562063217163086,0.2037389725446701
RUN_20250507_091629_122281,0.018824556842446327,0.866729736328125,0.35150811076164246,0.1549067348241806
RUN_20250507_092054_737953,0.018824556842446327,0.866729736328125,0.35150811076164246,0.1549067348241806
RUN_20250507_092507_822985,0.018824556842446327,0.866729736328125,0.35150811076164246,0.1549067348241806
RUN_20250507_092855_757582,0.018824556842446327,0.866729736328125,0.35150811076164246,0.1549067348241806
RUN_20250507_093317_186749,0.018824556842446327,0.866729736328125,0.35150811076164246,0.1549067348241806
RUN_20250507_093927_603149,0.018824556842446327,0.866729736328125,0.35150811076164246,0.1549067348241806
RUN_20250507_094801_866598,0.018824556842446327,0.866729736328125,0.35150811076164246,0.1549067348241806
RUN_20250507_095955_025724,0.018824556842446327,0.866729736328125,0.35150811076164246,0.1549067348241806
RUN_20250507_100830_472188,0.020076178014278412,0.8981561064720154,0.44964367151260376,0.20101585984230042
RUN_20250507_120744_777994,0.018824556842446327,0.866729736328125,0.35150811076164246,0.1549067348241806
RUN_20250507_130438_945151,0.020076178014278412,0.8981561064720154,0.44964367151260376,0.20101585984230042
RUN_20250507_154757_827643,0.019323280081152916,0.8921407461166382,0.4168702960014343,0.1853564828634262
RUN_20250508_163508_455026,0.0009780250256881118,0.0028409091755747795,0.0001205092848977074,2.1963283870718442e-05
RUN_20250508_173000_698248,0.00132198806386441,0.005251687485724688,0.0001896844187285751,3.893286339007318e-05
RUN_20250508_181031_297617,0.0007471643039025366,0.001080476911738515,0.0004150815075263381,0.0001089594661607407
RUN_20250508_185658_704237,0.001088484888896346,0.006818181835114956,0.00011836865451186895,2.061367740679998e-05
RUN_20250508_201758_039838,0.0011930553009733558,0.001080476911738515,9.511867392575368e-05,1.525687548564747e-05
RUN_20250508_210719_527240,0.0006928208167664707,0.0022727272007614374,4.8260062612826005e-05,8.464056918455753e-06
RUN_20250508_215533_423835,0.0008555087260901928,0.0035353535786271095,0.00010286609904142097,1.707036790321581e-05
RUN_20250508_222723_805537,0.0010487185791134834,0.0,0.0002093969815177843,3.6942772567272186e-05
RUN_20250508_231902_034999,0.0007803990156389773,0.0011363636003807187,8.576903928769752e-05,1.4360269233293366e-05
RUN_20250509_094402_770277,0.0008568564080633223,0.0012626262614503503,0.0003665921394713223,7.505085523007438e-05
RUN_20250509_102216_438759,0.00215701456181705,0.02245943248271942,0.0009561374317854643,0.00025846538483165205
